Date,Product,Demand,Temperature,Promotion,Region
2025-01-01,Milk,106,30,1,Bangalore
2025-01-02,Milk,104,26,1,Bangalore
2025-01-03,Milk,98,30,0,Bangalore
2025-01-04,Milk,106,26,0,Bangalore
2025-01-05,Milk,104,27,0,Bangalore
2025-01-06,Milk,95,29,0,Bangalore
2025-01-07,Milk,95,29,0,Bangalore
2025-01-08,Milk,93,28,0,Bangalore
2025-01-09,Milk,92,29,0,Bangalore
2025-01-10,Milk,98,24,0,Bangalore
2025-01-11,Milk,105,25,0,Bangalore
2025-01-12,Milk,107,31,0,Bangalore
2025-01-13,Milk,95,30,0,Bangalore
2025-01-14,Milk,100,30,1,Bangalore
2025-01-15,Milk,106,26,1,Bangalore
2025-01-16,Milk,93,28,0,Bangalore
2025-01-17,Milk,105,27,1,Bangalore
2025-01-18,Milk,103,25,0,Bangalore
2025-01-19,Milk,105,28,0,Bangalore
2025-01-20,Milk,95,30,0,Bangalore
2025-01-21,Milk,102,28,1,Bangalore
2025-01-22,Milk,93,29,0,Bangalore
2025-01-23,Milk,105,31,1,Bangalore
2025-01-24,Milk,95,29,0,Bangalore
2025-01-25,Milk,103,29,0,Bangalore
2025-01-26,Milk,103,25,0,Bangalore
2025-01-27,Milk,106,29,1,Bangalore
2025-01-28,Milk,97,31,0,Bangalore
2025-01-29,Milk,97,30,0,Bangalore
2025-01-30,Milk,104,31,1,Bangalore
2025-01-31,Milk,93,25,0,Bangalore
2025-02-01,Milk,105,24,0,Bangalore
2025-02-02,Milk,108,28,0,Bangalore
2025-02-03,Milk,98,28,0,Bangalore
2025-02-04,Milk,103,24,1,Bangalore
2025-02-05,Milk,94,31,0,Bangalore
2025-02-06,Milk,102,26,1,Bangalore
2025-02-07,Milk,104,26,1,Bangalore
2025-02-08,Milk,102,25,0,Bangalore
2025-02-09,Milk,113,27,1,Bangalore
2025-02-10,Milk,98,25,0,Bangalore
2025-02-11,Milk,96,30,0,Bangalore
2025-02-12,Milk,97,26,0,Bangalore
2025-02-13,Milk,94,26,0,Bangalore
2025-02-14,Milk,102,28,1,Bangalore
2025-02-15,Milk,116,24,1,Bangalore
2025-02-16,Milk,104,30,0,Bangalore
2025-02-17,Milk,101,24,1,Bangalore
2025-02-18,Milk,94,25,0,Bangalore
2025-02-19,Milk,100,30,1,Bangalore
2025-02-20,Milk,95,27,0,Bangalore
2025-02-21,Milk,98,29,0,Bangalore
2025-02-22,Milk,106,28,0,Bangalore
2025-02-23,Milk,116,27,1,Bangalore
2025-02-24,Milk,95,26,0,Bangalore
2025-02-25,Milk,97,25,0,Bangalore
2025-02-26,Milk,95,24,0,Bangalore
2025-02-27,Milk,95,27,0,Bangalore
2025-02-28,Milk,101,29,1,Bangalore
2025-03-01,Milk,141,30,1,Bangalore
2025-03-02,Milk,127,29,0,Bangalore
2025-03-03,Milk,120,26,0,Bangalore
2025-03-04,Milk,131,28,1,Bangalore
2025-03-05,Milk,117,29,0,Bangalore
2025-03-06,Milk,119,29,0,Bangalore
2025-03-07,Milk,123,25,0,Bangalore
2025-03-08,Milk,127,26,0,Bangalore
2025-03-09,Milk,127,27,0,Bangalore
2025-03-10,Milk,130,25,1,Bangalore
2025-03-11,Milk,117,30,0,Bangalore
2025-03-12,Milk,117,28,0,Bangalore
2025-03-13,Milk,118,26,0,Bangalore
2025-03-14,Milk,121,27,0,Bangalore
2025-03-15,Milk,137,31,1,Bangalore
2025-03-16,Milk,130,29,0,Bangalore
2025-03-17,Milk,131,25,1,Bangalore
2025-03-18,Milk,119,27,0,Bangalore
2025-03-19,Milk,129,24,1,Bangalore
2025-03-20,Milk,130,27,1,Bangalore
2025-03-21,Milk,125,26,1,Bangalore
2025-03-22,Milk,132,24,0,Bangalore
2025-03-23,Milk,130,31,0,Bangalore
2025-03-24,Milk,119,27,0,Bangalore
2025-03-25,Milk,119,25,0,Bangalore
2025-03-26,Milk,120,27,0,Bangalore
2025-03-27,Milk,123,24,0,Bangalore
2025-03-28,Milk,127,25,1,Bangalore
2025-03-29,Milk,136,27,1,Bangalore
2025-03-30,Milk,128,30,0,Bangalore
2025-03-31,Milk,118,26,0,Bangalore
2025-04-01,Milk,120,31,0,Bangalore
2025-04-02,Milk,122,24,0,Bangalore
2025-04-03,Milk,119,27,0,Bangalore
2025-04-04,Milk,119,30,0,Bangalore
2025-04-05,Milk,137,26,1,Bangalore
2025-04-06,Milk,135,27,1,Bangalore
2025-04-07,Milk,125,31,1,Bangalore
2025-04-08,Milk,128,31,1,Bangalore
2025-04-09,Milk,122,29,0,Bangalore
2025-04-10,Milk,121,24,0,Bangalore
2025-04-11,Milk,118,25,0,Bangalore
2025-04-12,Milk,131,25,0,Bangalore
2025-04-13,Milk,130,24,0,Bangalore
2025-04-14,Milk,120,24,0,Bangalore
2025-04-15,Milk,123,31,0,Bangalore
2025-04-16,Milk,117,26,0,Bangalore
2025-04-17,Milk,119,31,0,Bangalore
2025-04-18,Milk,122,29,0,Bangalore
2025-04-19,Milk,139,29,1,Bangalore
2025-04-20,Milk,137,26,1,Bangalore
2025-04-21,Milk,130,26,1,Bangalore
2025-04-22,Milk,117,24,0,Bangalore
2025-04-23,Milk,119,28,0,Bangalore
2025-04-24,Milk,117,27,0,Bangalore
